2022-12-05 14:59:14,666 |    INFO | client | Logging as u2...
2022-12-05 14:59:14,666 |    INFO | client | Starting input thread
2022-12-05 14:59:23,304 | WARNING | client | Server has disconnected
2022-12-05 14:59:27,673 |    INFO | client | Connection terminated
2022-12-05 15:08:06,242 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:08:16,808 | WARNING | client | Server has disconnected
2022-12-05 15:09:38,200 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:10:25,450 | WARNING | client | Server has disconnected
2022-12-05 15:10:30,647 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:12:09,355 | WARNING | client | Server has disconnected
2022-12-05 15:12:13,671 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:12:26,340 | WARNING | client | Server has disconnected
2022-12-05 15:15:21,887 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:15:21,901 |    INFO | client | Logging as u2...
2022-12-05 15:15:21,901 |    INFO | client | Starting input thread
2022-12-05 15:15:40,406 | WARNING | client | Server has disconnected
2022-12-05 15:16:16,801 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:16:49,619 | WARNING | client | Server has disconnected
2022-12-05 15:16:54,382 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:16:54,397 |    INFO | client | Logging as u2...
2022-12-05 15:16:54,397 |    INFO | client | Starting input thread
2022-12-05 15:17:21,367 | WARNING | client | Server has disconnected
2022-12-05 15:17:25,325 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:17:35,065 | WARNING | client | Server has disconnected
2022-12-05 15:17:44,302 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:17:44,318 |    INFO | client | Logging as u2...
2022-12-05 15:17:44,318 |    INFO | client | Starting input thread
2022-12-05 15:18:01,970 | WARNING | client | Server has disconnected
2022-12-05 15:18:08,997 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:18:09,011 |    INFO | client | Logging as u2...
2022-12-05 15:18:09,011 |    INFO | client | Starting input thread
2022-12-05 15:18:44,234 | WARNING | client | Server has disconnected
2022-12-05 15:18:48,393 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:18:48,404 |    INFO | client | Logging as u2...
2022-12-05 15:18:48,404 |    INFO | client | Starting input thread
2022-12-05 15:19:05,009 | WARNING | client | Server has disconnected
2022-12-05 15:19:10,296 |    INFO | client | Connecting to: 127.0.0.1:4444
2022-12-05 15:19:10,308 |    INFO | client | Logging as u2...
